v1,v2
ham,See you at the office.
ham,See you at the office.
ham,Lunch at 1 PM?
ham,Lunch at 1 PM?
ham,Lunch at 1 PM?
ham,"Hey, are we still meeting today?"
spam,You are a lucky winner! Claim your prize.
ham,Let's catch up soon.
ham,Happy birthday! Have a great day.
ham,Don't forget to bring your notebook.
spam,Get cheap loans now. No credit check required.
ham,Let's catch up soon.
ham,Meeting is postponed to tomorrow.
ham,Good morning! How are you?
ham,Let's catch up soon.
ham,Happy birthday! Have a great day.
ham,Can you send me the report?
ham,I'll call you later.
ham,Lunch at 1 PM?
ham,Happy birthday! Have a great day.
ham,Good morning! How are you?
ham,Happy birthday! Have a great day.
ham,Happy birthday! Have a great day.
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Can you send me the report?
ham,Let's catch up soon.
ham,Happy birthday! Have a great day.
ham,I'll call you later.
ham,"Hey, are we still meeting today?"
ham,Lunch at 1 PM?
spam,Exclusive offer! Buy 1 get 1 free. Limited time only.
ham,Happy birthday! Have a great day.
ham,Don't forget to bring your notebook.
spam,Get cheap loans now. No credit check required.
ham,Don't forget to bring your notebook.
ham,"Hey, are we still meeting today?"
spam,Exclusive offer! Buy 1 get 1 free. Limited time only.
ham,Good morning! How are you?
ham,Don't forget to bring your notebook.
ham,Good morning! How are you?
spam,Exclusive offer! Buy 1 get 1 free. Limited time only.
ham,See you at the office.
spam,Earn money from home. No experience needed.
spam,Win a brand new car! Text WIN to 12345.
ham,"Hey, are we still meeting today?"
spam,Earn money from home. No experience needed.
spam,Earn money from home. No experience needed.
ham,"Hey, are we still meeting today?"
ham,Can you send me the report?
spam,Get cheap loans now. No credit check required.
spam,Earn money from home. No experience needed.
ham,Lunch at 1 PM?
ham,I'll call you later.
ham,Lunch at 1 PM?
ham,Let's catch up soon.
spam,You have been selected for a free vacation. Call now!
ham,See you at the office.
ham,I'll call you later.
ham,I'll call you later.
ham,See you at the office.
ham,"Hey, are we still meeting today?"
ham,Can you send me the report?
ham,Good morning! How are you?
ham,Happy birthday! Have a great day.
ham,See you at the office.
spam,Win a brand new car! Text WIN to 12345.
ham,Can you send me the report?
ham,I'll call you later.
ham,Happy birthday! Have a great day.
ham,Happy birthday! Have a great day.
ham,Happy birthday! Have a great day.
ham,Lunch at 1 PM?
ham,"Hey, are we still meeting today?"
ham,Lunch at 1 PM?
spam,You are a lucky winner! Claim your prize.
ham,Meeting is postponed to tomorrow.
ham,Meeting is postponed to tomorrow.
ham,Let's catch up soon.
ham,Don't forget to bring your notebook.
ham,Don't forget to bring your notebook.
ham,"Hey, are we still meeting today?"
ham,Good morning! How are you?
ham,See you at the office.
spam,You have been selected for a free vacation. Call now!
ham,Meeting is postponed to tomorrow.
spam,"Your mobile number has won $500,000."
spam,URGENT! Your account has been compromised. Reply to secure.
ham,Can you send me the report?
ham,See you at the office.
ham,Lunch at 1 PM?
ham,Can you send me the report?
spam,Get cheap loans now. No credit check required.
ham,Don't forget to bring your notebook.
ham,See you at the office.
ham,Meeting is postponed to tomorrow.
ham,Good morning! How are you?
ham,Happy birthday! Have a great day.
ham,Let's catch up soon.
spam,You have been selected for a free vacation. Call now!
ham,Meeting is postponed to tomorrow.
ham,Lunch at 1 PM?
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Can you send me the report?
ham,See you at the office.
spam,Get cheap loans now. No credit check required.
ham,"Hey, are we still meeting today?"
ham,Meeting is postponed to tomorrow.
ham,"Hey, are we still meeting today?"
spam,Congratulations! You've won a $1000 gift card. Click here to claim.
ham,Don't forget to bring your notebook.
ham,Good morning! How are you?
ham,Good morning! How are you?
ham,Don't forget to bring your notebook.
ham,Let's catch up soon.
ham,Don't forget to bring your notebook.
ham,See you at the office.
